neck,min,8,med,40,low,20
trunk,min,18,hig,80,low,25
arm,low,24,min,10,hig,50
1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,5,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,5,5,5,7,7,7,7,1,1,1,5,5,5,5,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,7,7,7,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,7,7,7,7,7,7,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,7,7,7,7,5,5,5,1,1,1,1,1,1,1
25,35,30,10
3,1,1,3,5,7
